sampling,popmodel,replicate,n_snps
independenthomochronous,uniform,25,5158
independenthomochronous,uniform,26,5477
independenthomochronous,uniform,27,5375
independenthomochronous,uniform,28,5897
independenthomochronous,uniform,29,3955
independenthomochronous,uniform,30,4085
independenthomochronous,uniform,31,6642
independenthomochronous,uniform,32,5078
independenthomochronous,uniform,33,4548
independenthomochronous,uniform,34,4914
independenthomochronous,uniform,35,6332
independenthomochronous,uniform,36,4781
independenthomochronous,uniform,37,4453
independenthomochronous,uniform,38,5968
independenthomochronous,uniform,39,5237
independenthomochronous,uniform,40,4127
independenthomochronous,uniform,41,7159
independenthomochronous,uniform,42,5184
independenthomochronous,uniform,43,4157
independenthomochronous,uniform,44,5698
independenthomochronous,uniform,45,5366
independenthomochronous,uniform,46,3883
independenthomochronous,uniform,47,4495
independenthomochronous,uniform,48,6812
independenthomochronous,uniform,49,5931
independenthomochronous,uniform,50,5003
independenthomochronous,uniform,51,4536
independenthomochronous,uniform,52,3847
independenthomochronous,uniform,53,4433
independenthomochronous,uniform,54,5289
independenthomochronous,uniform,55,4787
independenthomochronous,uniform,56,6868
independenthomochronous,uniform,57,4944
independenthomochronous,uniform,58,6535
independenthomochronous,uniform,59,6468
independenthomochronous,uniform,60,3849
independenthomochronous,uniform,61,4684
independenthomochronous,uniform,62,4941
independenthomochronous,uniform,63,5198
independenthomochronous,uniform,64,7348
independenthomochronous,uniform,65,5429
independenthomochronous,uniform,66,5164
independenthomochronous,uniform,67,4698
independenthomochronous,uniform,68,4696
independenthomochronous,uniform,69,5470
independenthomochronous,uniform,70,7969
independenthomochronous,uniform,71,4506
independenthomochronous,uniform,72,6229
independenthomochronous,uniform,73,5056
independenthomochronous,uniform,74,6296
independenthomochronous,uniform,75,5699
independenthomochronous,uniform,76,4463
independenthomochronous,uniform,77,5389
independenthomochronous,uniform,78,4320
independenthomochronous,uniform,79,5220
independenthomochronous,uniform,80,6315
independenthomochronous,uniform,81,5907
independenthomochronous,uniform,82,5297
independenthomochronous,uniform,83,4565
independenthomochronous,uniform,84,4872
independenthomochronous,uniform,85,5049
independenthomochronous,uniform,86,5195
independenthomochronous,uniform,87,4802
independenthomochronous,uniform,88,6067
independenthomochronous,uniform,89,7004
independenthomochronous,uniform,90,7434
independenthomochronous,uniform,91,4642
independenthomochronous,uniform,92,4492
independenthomochronous,uniform,93,5031
independenthomochronous,uniform,94,6249
independenthomochronous,uniform,95,6769
independenthomochronous,uniform,96,5118
independenthomochronous,uniform,97,4227
independenthomochronous,uniform,98,3705
independenthomochronous,uniform,99,3876
independenthomochronous,bottleneck,0,3583
independenthomochronous,bottleneck,1,2046
independenthomochronous,bottleneck,2,3003
independenthomochronous,bottleneck,3,2084
independenthomochronous,bottleneck,4,3814
independenthomochronous,bottleneck,5,4854
independenthomochronous,bottleneck,6,2801
independenthomochronous,bottleneck,7,4687
independenthomochronous,bottleneck,8,1445
independenthomochronous,bottleneck,9,3871
independenthomochronous,bottleneck,10,1517
independenthomochronous,bottleneck,11,3835
independenthomochronous,bottleneck,12,2135
independenthomochronous,bottleneck,13,2891
independenthomochronous,bottleneck,14,3312
independenthomochronous,bottleneck,15,3459
independenthomochronous,bottleneck,16,2727
independenthomochronous,bottleneck,17,2760
independenthomochronous,bottleneck,18,2800
independenthomochronous,bottleneck,19,2293
independenthomochronous,bottleneck,20,2579
independenthomochronous,bottleneck,21,2827
independenthomochronous,bottleneck,22,4320
independenthomochronous,bottleneck,23,2660
independenthomochronous,bottleneck,24,2170
independenthomochronous,bottleneck,25,3176
independenthomochronous,bottleneck,26,2078
independenthomochronous,bottleneck,27,3197
independenthomochronous,bottleneck,28,1414
independenthomochronous,bottleneck,29,2892
independenthomochronous,bottleneck,30,2740
independenthomochronous,bottleneck,31,4021
independenthomochronous,bottleneck,32,2531
independenthomochronous,bottleneck,33,2286
independenthomochronous,bottleneck,34,1735
independenthomochronous,bottleneck,35,2287
independenthomochronous,bottleneck,36,2976
independenthomochronous,bottleneck,37,1627
independenthomochronous,bottleneck,38,2734
independenthomochronous,bottleneck,39,2352
independenthomochronous,bottleneck,40,6378
independenthomochronous,bottleneck,41,1658
independenthomochronous,bottleneck,42,2439
independenthomochronous,bottleneck,43,4295
independenthomochronous,bottleneck,44,2390
independenthomochronous,bottleneck,45,3414
independenthomochronous,bottleneck,46,1741
independenthomochronous,bottleneck,47,1873
independenthomochronous,bottleneck,48,1928
independenthomochronous,bottleneck,49,3194
independenthomochronous,bottleneck,50,1161
independenthomochronous,bottleneck,51,2491
independenthomochronous,bottleneck,52,4444
independenthomochronous,bottleneck,53,2283
independenthomochronous,bottleneck,54,4649
independenthomochronous,bottleneck,55,2544
independenthomochronous,bottleneck,56,2675
independenthomochronous,bottleneck,57,2463
independenthomochronous,bottleneck,58,4471
independenthomochronous,bottleneck,59,2681
independenthomochronous,bottleneck,60,2046
independenthomochronous,bottleneck,61,3909
independenthomochronous,bottleneck,62,2290
independenthomochronous,bottleneck,63,4968
independenthomochronous,bottleneck,64,2851
independenthomochronous,bottleneck,65,4374
independenthomochronous,bottleneck,66,2224
independenthomochronous,bottleneck,67,2377
independenthomochronous,bottleneck,68,3694
independenthomochronous,bottleneck,69,3356
independenthomochronous,bottleneck,70,2533
independenthomochronous,bottleneck,71,3992
independenthomochronous,bottleneck,72,1458
independenthomochronous,bottleneck,73,2841
independenthomochronous,bottleneck,74,2691
independenthomochronous,bottleneck,75,1190
independenthomochronous,bottleneck,76,3152
independenthomochronous,bottleneck,77,2244
independenthomochronous,bottleneck,78,1346
independenthomochronous,bottleneck,79,1458
independenthomochronous,bottleneck,80,1509
independenthomochronous,bottleneck,81,2453
independenthomochronous,bottleneck,82,2706
independenthomochronous,bottleneck,83,2683
independenthomochronous,bottleneck,84,3915
independenthomochronous,bottleneck,85,2025
independenthomochronous,bottleneck,86,2190
independenthomochronous,bottleneck,87,3373
independenthomochronous,bottleneck,88,2933
independenthomochronous,bottleneck,89,2701
independenthomochronous,bottleneck,90,2283
independenthomochronous,bottleneck,91,2388
independenthomochronous,bottleneck,92,1929
independenthomochronous,bottleneck,93,1411
independenthomochronous,bottleneck,94,3514
independenthomochronous,bottleneck,95,2689
independenthomochronous,bottleneck,96,1724
independenthomochronous,bottleneck,97,1948
independenthomochronous,bottleneck,98,1868
independenthomochronous,bottleneck,99,2173
linearconstant,expgrowthfast,0,2835
linearconstant,expgrowthfast,1,2922
linearconstant,expgrowthfast,2,2887
linearconstant,expgrowthfast,3,2914
linearconstant,expgrowthfast,4,2929
linearconstant,expgrowthfast,5,2890
linearconstant,expgrowthfast,6,2831
linearconstant,expgrowthfast,7,3072
linearconstant,expgrowthfast,8,2980
linearconstant,expgrowthfast,9,3182
linearconstant,expgrowthfast,10,2969
linearconstant,expgrowthfast,11,2776
linearconstant,expgrowthfast,12,2689
linearconstant,expgrowthfast,13,3009
linearconstant,expgrowthfast,14,2933
linearconstant,expgrowthfast,15,2672
linearconstant,expgrowthfast,16,3119
linearconstant,expgrowthfast,17,3028
linearconstant,expgrowthfast,18,2903
linearconstant,expgrowthfast,19,3135
linearconstant,expgrowthfast,20,3015
linearconstant,expgrowthfast,21,2955
linearconstant,expgrowthfast,22,3227
linearconstant,expgrowthfast,23,2989
linearconstant,expgrowthfast,24,3031
linearconstant,expgrowthfast,25,2915
linearconstant,expgrowthfast,26,2856
linearconstant,expgrowthfast,27,3048
linearconstant,expgrowthfast,28,2751
linearconstant,expgrowthfast,29,2807
linearconstant,expgrowthfast,30,3212
linearconstant,expgrowthfast,31,2963
linearconstant,expgrowthfast,32,3101
linearconstant,expgrowthfast,33,2894
linearconstant,expgrowthfast,34,2832
linearconstant,expgrowthfast,35,3068
linearconstant,expgrowthfast,36,2948
linearconstant,expgrowthfast,37,2746
linearconstant,expgrowthfast,38,2950
linearconstant,expgrowthfast,39,2981
linearconstant,expgrowthfast,40,2847
linearconstant,expgrowthfast,41,3025
linearconstant,expgrowthfast,42,2931
linearconstant,expgrowthfast,43,2856
linearconstant,expgrowthfast,44,2854
linearconstant,expgrowthfast,45,3031
linearconstant,expgrowthfast,46,3024
linearconstant,expgrowthfast,47,2787
linearconstant,expgrowthfast,48,2984
linearconstant,expgrowthfast,49,3017
linearconstant,expgrowthfast,50,2844
linearconstant,expgrowthfast,51,3089
linearconstant,expgrowthfast,52,3020
linearconstant,expgrowthfast,53,2739
linearconstant,expgrowthfast,54,2657
linearconstant,expgrowthfast,55,3189
linearconstant,expgrowthfast,56,2982
linearconstant,expgrowthfast,57,3128
linearconstant,expgrowthfast,58,2944
linearconstant,expgrowthfast,59,2785
linearconstant,expgrowthfast,60,3039
linearconstant,expgrowthfast,61,2922
linearconstant,expgrowthfast,62,3054
linearconstant,expgrowthfast,63,3177
linearconstant,expgrowthfast,64,2824
linearconstant,expgrowthfast,65,2954
linearconstant,expgrowthfast,66,2643
linearconstant,expgrowthfast,67,3271
linearconstant,expgrowthfast,68,2813
linearconstant,expgrowthfast,69,2909
linearconstant,expgrowthfast,70,3136
linearconstant,expgrowthfast,71,2660
linearconstant,expgrowthfast,72,2921
linearconstant,expgrowthfast,73,3154
linearconstant,expgrowthfast,74,2987
linearconstant,expgrowthfast,75,3278
linearconstant,expgrowthfast,76,3041
linearconstant,expgrowthfast,77,3069
linearconstant,expgrowthfast,78,3077
linearconstant,expgrowthfast,79,3210
linearconstant,expgrowthfast,80,2923
linearconstant,expgrowthfast,81,2847
linearconstant,expgrowthfast,82,3077
linearconstant,expgrowthfast,83,2885
linearconstant,expgrowthfast,84,2896
linearconstant,expgrowthfast,85,2742
linearconstant,expgrowthfast,86,2757
linearconstant,expgrowthfast,87,3183
linearconstant,expgrowthfast,88,3053
linearconstant,expgrowthfast,89,3029
linearconstant,expgrowthfast,90,2899
linearconstant,expgrowthfast,91,3150
linearconstant,expgrowthfast,92,3151
linearconstant,expgrowthfast,93,3101
linearconstant,expgrowthfast,94,3057
linearconstant,expgrowthfast,95,3015
linearconstant,expgrowthfast,96,2850
linearconstant,expgrowthfast,97,2956
linearconstant,expgrowthfast,98,3010
linearconstant,expgrowthfast,99,3158
linearconstant,expgrowthslow,0,4239
linearconstant,expgrowthslow,1,4401
linearconstant,expgrowthslow,2,3922
linearconstant,expgrowthslow,3,4377
linearconstant,expgrowthslow,4,4099
linearconstant,expgrowthslow,5,4438
linearconstant,expgrowthslow,6,4180
linearconstant,expgrowthslow,7,4169
linearconstant,expgrowthslow,8,4444
